AK01,Y000033
AKS2,M001153
AL01,B001244
AL02,B001264
AL03,R000575
AL04,A000055
AL05,G000557
AL06,B000013
AL07,D000602
ALS2,S000320
AR01,B000420
AR02,S000672
AR03,B001236
AR04,R000573
ARS2,L000035
AS00,F000010
AZ01,K000368
AZ02,F000448
AZ03,S000275
AZ04,P000099
AZ05,M001167
AZ06,F000444
AZ07,G000551
AZ08,G000554
AZS1,M000303
CA01,T000460
CA02,H000528
CA03,L000517
CA04,M001177
CA05,M001163
CA06,W000738
CA07,M000725
CA08,P000197
CA09,L000551
CA10,G000559
CA11,M001166
CA12,S001175
CA13,S000810
CA14,E000215
CA15,H001034
CA16,L000397
CA17,F000030
CA18,C001050
CA19,R000004
CA20,C001059
CA21,N000181
CA22,M001165
CA23,C001036
CA24,G000021
CA25,M000508
CA26,D000492
CA27,S000344
CA28,B000410
CA29,S001150
CA30,W000215
CA31,B000287
CA32,C001080
CA33,W000794
CA34,R000486
CA35,W000187
CA36,H000213
CA37,R000581
CA38,N000179
CA39,S001156
CA40,R000487
CA41,L000274
CA42,M001139
CA43,B001234
CA44,C000059
CA45,B001228
CA46,R000409
CA47,S000030
CA48,C001064
CA49,I000056
CA50,B000461
CA51,F000116
CA52,H001048
CA53,D000598
CAS1,B000711
CO01,D000197
CO02,P000598
CO03,S001158
CO04,M001172
CO05,L000564
CO06,C001077
CO07,P000593
COS1,B001267
CT01,L000557
CT02,C001069
CT03,D000216
CT04,H001047
CT05,M001169
CTS2,D000388
DC00,N000147
DE01,C000243
DES2,K000373
FL01,M001144
FL02,B000716
FL03,B000911
FL04,C001045
FL05,B001247
FL06,S000822
FL07,M000689
FL08,G000556
FL09,B001257
FL10,Y000031
FL11,C001066
FL12,P000586
FL13,B001260
FL14,M001155
FL15,P000599
FL16,R000583
FL17,M001148
FL18,R000435
FL19,D000610
FL20,W000797
FL21,D000299
FL22,K000366
FL23,H000324
FL24,K000370
FL25,D000600
FLS2,L000572
GA01,K000220
GA02,B000490
GA03,W000796
GA04,J000288
GA05,L000287
GA06,P000591
GA07,L000321
GA08,M001146
GA09,G000560
GA10,B001262
GA11,G000550
GA12,B001252
GA13,S001157
GAS2,I000055
GU00,B001245
HI01,D000611
HI02,H001042
HIS1,I000025
IA01,B001259
IA02,L000565
IA03,B000652
IA04,L000111
IA05,K000362
IAS1,G000386
ID01,M001175
ID02,S001148
IDS2,C000880
IL01,R000515
IL02,J000283
IL03,L000563
IL04,G000535
IL05,Q000023
IL06,R000580
IL07,D000096
IL08,B001253
IL09,S001145
IL10,K000360
IL11,H001044
IL12,C000794
IL13,B001232
IL14,F000454
IL15,J000285
IL16,M001138
IL17,H001040
IL18,S001179
IL19,S000364
ILS2,B001266
IN01,V000108
IN02,D000607
IN03,
IN04,B001203
IN05,B001149
IN06,P000587
IN07,C001072
IN08,E000289
IN09,H001030
INS2,B001233
KS01,M000934
KS02,J000290
KS03,M001140
KS04,T000260
KSS2,B000953
KY01,W000413
KY02,G000558
KY03,Y000062
KY04,D000603
KY05,R000395
KY06,C001058
KYS2,B001066
LA01,S001176
LA02,C001079
LA03,M001161
LA04,F000456
LA05,A000361
LA06,C001075
LA07,B001255
LAS2,V000127
MA01,O000085
MA02,N000015
MA03,M000312
MA04,F000339
MA05,T000465
MA06,T000266
MA07,M000133
MA08,C001037
MA09,L000562
MA10,D000210
MAS1,B001268
MD01,K000371
MD02,R000576
MD03,S001168
MD04,E000290
MD05,H000874
MD06,B000208
MD07,C000984
MD08,V000128
MDS2,M000702
ME01,P000597
ME02,M001149
MI01,S001045
MI02,H000676
MI03,E000092
MI04,C000071
MI05,K000172
MI06,U000031
MI07,S001178
MI08,R000572
MI09,P000595
MI10,M001150
MI11,M001147
MI12,L000263
MI13,K000180
MI14,C000714
MI15,D000355
MN01,W000799
MN02,K000363
MN03,P000594
MN04,M001143
MN05,E000288
MN06,B001256
MN07,P000258
MN08,O000006
MO01,C001049
MO02,A000358
MO03,C001060
MO04,S000465
MO05,C001061
MO06,G000546
MO07,B000575
MO08,E000172
MO09,L000569
MOS1,B000611
MS01,C001074
MS02,T000193
MS03,H001045
MS04,T000074
MT01,R000571
NC01,B001251
NC02,E000226
NC03,J000255
NC04,P000523
NC05,F000450
NC06,C000556
NC07,M000485
NC08,K000369
NC09,M001134
NC10,M001156
NC11,S001171
NC12,W000207
NC13,M001154
NCS2,B001135
ND01,P000422
NDS1,D000432
NE01,F000449
NE02,T000459
NE03,S001172
NH01,S001170
NH02,H001043
NHS1,G000445
NJ01,A000210
NJ02,L000554
NJ03,A000364
NJ04,S000522
NJ05,G000548
NJ06,P000034
NJ07,L000567
NJ08,P000096
NJ09,R000462
NJ10,P000149
NJ11,F000372
NJ12,H001032
N